ChannelTitle,Subscribers,TotalViews,TotalVideos,CreationDate,VideoTitle,VideoViews
Bizarrap,22200000,9336429579,89,2017-01-15 11:31:12.000000,SHAKIRA || BZRP Music Sessions #53,735849999
Geo News,15900000,7446676331,235189,2007-01-10 19:16:49.000000,GEO NEWS LIVE: Latest Pakistan News and Breaking Headlines Today #livenewstoday,674198281
Ke Personajes,2350000,2585303263,71,2018-06-13 12:02:13.000000,Ke Personajes Ft  Onda Sabanera | Pobre Corazón,432323895
Big One,1120000,1141382984,17,2017-08-24 12:32:50.000000,"Emilia, Callejero Fino, Big One - En La Intimidad | CROSSOVER #1",384290279
Todo Noticias,4310000,1886418731,50614,2016-12-15 23:19:44.000000,TN EN VIVO I CASO LOAN - HORAS DECISIVAS,344632506
Big One,1120000,1141382984,17,2017-08-24 12:32:50.000000,"Ke Personajes, FMK, Big One - Un Finde | CROSSOVER #2",323052443
LIT killah,6240000,2120032881,80,2016-03-15 02:43:02.000000,"Los Del Espacio - LIT killah, Duki, Emilia, Tiago PZK, FMK, Rusherking, Maria Becerra, Big One",319542290
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,Abejita Chiquitita ♫ Canciones Infantiles ♫ Plim Plim,297076964
Bizarrap,22200000,9336429579,89,2017-01-15 11:31:12.000000,PESO PLUMA || BZRP Music Sessions #55,291122900
BM Oficial,1000000,975783305,31,2020-10-21 19:55:26.355453,"BM, Callejero Fino, La Joaqui, Lola Índigo - M.A (Remix) [Prod Phontana, Alan Gomez] (Video Oficial)",230062759
DIY & Crafts,1660000,1141185894,723,2019-01-14 08:27:52.000000,The weather is getting hotter and hotter. Make a cool watermelon fan and do it with your children.,224213794
TiniVEVO,1280000,4745098316,123,2015-12-07 18:03:09.000000,TINI - Cupido (Video Oficial),217867131
Maria Becerra,5290000,3833498935,226,2018-09-20 23:18:49.000000,Maria Becerra - CORAZÓN VACÍO (Official Video),213447359
عائلة ابو رعد Abo Raad family,11800000,7856531153,2977,2018-10-05 19:41:24.000000,Is it plausible to be real 😂,209846485
Al Jazeera English,13700000,4618170664,115827,2006-11-23 14:12:43.000000,🔴 Al Jazeera English | Live,207491754
Emilia,2210000,1656741575,30,2019-01-29 22:10:55.000000,"Emilia, Ludmilla, Zecca - No_se_ve.mp3 (Official Video)",202987991
El Reino a Jugar,18700000,12394324622,888,2015-03-03 14:01:27.000000,JUGAMOS Con BARTOLITO Y LA VACA LOLA a Aprender con Los HUEVOS SORPRESA 🌈 A JUGAR 🥳,198842262
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,¿Qué Le Pasa al Cerdito Enojón? ♫ Canciones Infantiles ♫ Plim Plim,185892050
Cute baby,3090000,1361590837,566,2023-04-23 15:14:15.600073,cute 😘#shorts,178559827
V6 News Telugu,10600000,11780079663,314221,2013-01-26 06:54:00.000000,V6 News LIVE  | Telangana Live TV Channel | V6 News,174770531
TiniVEVO,1280000,4745098316,123,2015-12-07 18:03:09.000000,"TINI, La Joaqui, Steve Aoki - Muñecas (Official Video)",160586256
Maria Becerra,5290000,3833498935,226,2018-09-20 23:18:49.000000,"Maria Becerra, Ráfaga - ADIÓS (Live Session)",157332307
Vika Candle,1540000,1235844605,1832,2017-10-17 18:20:03.000000,このキャンドル作りのビデオは、あなたが見なければならないほど満足です! #shortvideo,144224621
nickinicoleVEVO,22400,778716349,39,2020-04-27 12:21:46.559867,"Nicki Nicole, Milo J - DISPARA *** (Official Video)",136125538
Bugworkout,8560000,7631190717,1041,2021-04-12 16:29:41.381319,Wait for it…😱 #shorts,135325360
Bizarrap,22200000,9336429579,89,2017-01-15 11:31:12.000000,ARCANGEL || BZRP Music Sessions #54,130910561
ECKO,1530000,477990180,68,2018-03-21 01:23:46.000000,"ECKO, Callejero Fino, El Perro - Te Escapas De Mis Brazos (Remix) (Video Oficial)",126580851
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,¿Qué Animales Vemos Desde El Autobus? ♫ Canciones Infantiles ♫ Plim Plim,124170803
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,Que Levante La Mano (Sonidos de Animales) ♫ Canciones Infantiles ♫ Plim Plim,122746870
Gustavo GG,3470000,1180203359,807,2012-01-08 12:10:58.000000,Trabajo en equipo 🤣 Gustavo gg,119908763
ABP MAJHA,13500000,12640004143,404312,2014-07-30 10:17:31.000000,ABP Majha Live TV | Vidhan Sabha Live | Maharashtra Rain | India Won T20 World Cup | Pandharpur Wari,115937401
The La Planta,722000,782151881,100,2017-11-13 03:08:46.000000,"PA ROMPER LA DISCOTEKA - The La Planta, BM, Alejo Isakk, Locura Mix ( Video Oficial )",115718322
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,Un Piojito ♫ Canciones Infantiles ♫ Plim Plim,114505033
El Payaso Plim Plim,22200000,24093430303,1637,2013-10-18 17:00:07.000000,La Vaca Lola y Su Familia ♫ Canciones Infantiles ♫ Plim Plim,113218433
V5 Family Show,6160000,4395346336,591,2023-02-22 08:09:20.753713,Mother Is The First Teacher For Every Kid 👩‍👧#shorts #viral,112625910
nickinicoleVEVO,22400,778716349,39,2020-04-27 12:21:46.559867,"Nicki Nicole, Young Miko - 8 AM (Official Video)",103924763
三立LIVE新聞,1850000,4147235774,209666,2013-07-30 02:55:25.000000,三立新聞 24小時直播 LIVE 三立+｜SET+ 24hrs LIVE news│台湾 SET+ 24hrs ニュースオンライン放送│대만 채널 SET+ 뉴스 생방송 @setnews​,98124365
El Joan,190000,198777199,18,2018-02-06 22:22:12.000000,"El Joan, Celso El Potente - Le Gustan Los Flaites (Video Oficial)",94701801
Maria Becerra,5290000,3833498935,226,2018-09-20 23:18:49.000000,Maria Becerra -  TE CURA  (FAST X Soundtrack) | Official Video,92687059
A24com,1710000,1043997594,38453,2015-08-12 14:01:21.000000,A24 EN VIVO 🔴 Las últimas noticias de Argentina y el mundo las 24 horas,91493548
Tiago PZK,4620000,2408445321,64,2013-11-07 20:29:34.000000,"Tiago PZK, TINI - Me Enteré (Official Video)",87652381
Dulce Moreno 💖,3310000,1930630103,1369,2022-08-11 13:29:39.724586,FINAL EPICO! 😜 Videos de risas! Si te ries pierdes!🤣 #shorts #tiktok,84297451
LA JOAQUI,1230000,798492240,75,2019-05-27 23:16:21.000000,LA JOAQUI | Alan Gomez - Amanecemos (Video Oficial),83665801
Isaiah Miranda,3390000,2967028933,1213,2019-12-29 23:03:08.369314,Wednesday Addams powers *First date edition 😂 #shorts,82159769
Maria Becerra,5290000,3833498935,226,2018-09-20 23:18:49.000000,"Maria Becerra, Ráfaga - Mentirosa / Adiós (en vivo Lollapalooza Argentina 2023) by FLOW",81912771
EmiliaMusicVEVO,62400,972981555,59,2019-02-25 23:44:45.000000,Emilia - Jagger.mp3 (Official Video),79116898
Go Ami Go!,19200000,3711724608,363,2015-12-03 19:46:28.000000,Porque deberías llevar una libreta a un restaurante 5 estrellas,78988221
Telewizja Republika,1160000,797392050,38780,2013-10-31 13:02:23.000000,Telewizja Republika. Oglądaj na żywo ❗ 📺📱💻,78892187
Luck Ra,1460000,1108131042,53,2015-05-11 22:58:00.000000,"Luck Ra, La T y La M & Rusherking - Quiero Creer (Video Oficial)",78782996
TVBS NEWS,2720000,6213791328,458629,2006-04-11 10:18:54.000000,🔴LIVE：TVBS NEWS網路獨家新聞24小時直播 Taiwan News 24hr 台湾世界中のニュースを24時間配信中 대만24시간뉴스채널 55台,76794134
