ChannelTitle,Subscribers,TotalViews,TotalVideos,CreationDate,VideoTitle,VideoViews
Geo News,15900000,7446676331,235190,2007-01-10 19:16:49.000000,GEO NEWS LIVE: Latest Pakistan News and Breaking Headlines Today #livenewstoday,674213374
Jordi Koalitic,5590000,2904674456,330,2019-07-04 14:14:20.000000,MENTAL HEALTH 🦋📱@xiaomi  #redminote11series  #photoshoot #panorama #shorts,292530282
DIY & Crafts,1660000,1141185894,723,2019-01-14 08:27:52.000000,The weather is getting hotter and hotter. Make a cool watermelon fan and do it with your children.,224246783
عائلة ابو رعد Abo Raad family,11800000,7856531153,2977,2018-10-05 19:41:24.000000,Is it plausible to be real 😂,209856521
SebastianYatraVEVO,2790000,9586987469,123,2014-05-06 16:28:48.000000,"Sebastián Yatra, Manuel Turizo, Beéle - VAGABUNDO (Official Video)",190197794
مصطفي العملاق - Mostafa,1950000,1807825243,1483,2022-07-22 15:51:50.732041,لما تعمل مقلب وتقلب عليك 😅,181624841
Cute baby,3090000,1361590837,566,2023-04-23 15:14:15.600073,cute 😘#shorts,178566356
Luli Pampín,16700000,12304051706,359,2012-12-22 14:25:39.000000,Luli Pampín - LA LECHUZA 🦉🥱😴 (Official Video),172121550
FAMTOONIES EN ESPAÑOL - Vídeos infantiles,817000,386655560,1236,2018-03-12 12:17:34.000000,💨💥 ¿¿QUÉ ha PASADO?? 👀 #Shorts #bellies #belliesbabies,169695419
Vika Candle,1540000,1235844605,1832,2017-10-17 18:20:03.000000,このキャンドル作りのビデオは、あなたが見なければならないほど満足です! #shortvideo,144234273
Bugworkout,8560000,7631190717,1041,2021-04-12 16:29:41.381319,Wait for it…😱 #shorts,135326601
HeyKids - Canciones Para Niños,7110000,2382075529,449,2014-10-07 12:54:09.000000,Sonidos de Animales para Niños | canción de animales | HeyKids - Canciones infantiles,133415170
Crónica TV,2100000,1347639825,75294,2015-10-05 17:11:42.000000,CRÓNICA EN VIVO - CASO LOAN: NOVEDADES DE ÚLTIMO MOMENTO,120830879
ABP MAJHA,13500000,12640004143,404320,2014-07-30 10:17:31.000000,ABP Majha Live TV | Vidhan Sabha Live | Maharashtra Rain | India Won T20 World Cup | Pandharpur Wari,115944217
V5 Family Show,6160000,4395346336,591,2023-02-22 08:09:20.753713,Mother Is The First Teacher For Every Kid 👩‍👧#shorts #viral,112636004
OcasionPlus,12300,135505471,109,2013-02-13 15:13:26.000000,Compra tu coche ideal en OcasionPlus,105787126
三立LIVE新聞,1850000,4147235774,209666,2013-07-30 02:55:25.000000,三立新聞 24小時直播 LIVE 三立+｜SET+ 24hrs LIVE news│台湾 SET+ 24hrs ニュースオンライン放送│대만 채널 SET+ 뉴스 생방송 @setnews​,98124985
Yod'in Galactic,4510000,2200428669,1028,2020-12-15 18:18:56.102693,MAMÁ HA COMPRADO NUEVAS MASCARILLAS 🤩🤣🤣 #shorts,93292590
A24com,1710000,1043997594,38453,2015-08-12 14:01:21.000000,A24 EN VIVO 🔴 Las últimas noticias de Argentina y el mundo las 24 horas,91497689
Fred Lammie,6960000,1871176833,431,2006-10-18 17:19:23.000000,¿Cuál te gusta más?,91166765
AngelCusto091,770000,230974959,72,2022-07-10 16:15:56.487397,RESQME: ESCAPAR de un coche en SEGUNDOS #resqme #police #shorts,87980151
Isaiah Miranda,3390000,2967028933,1213,2019-12-29 23:03:08.369314,Wednesday Addams powers *First date edition 😂 #shorts,82161080
Telewizja Republika,1160000,797392050,38780,2013-10-31 13:02:23.000000,Telewizja Republika. Oglądaj na żywo ❗ 📺📱💻,78893955
Mike Fajardo,4970000,4559298348,1970,2020-03-24 18:13:34.091575,Un paracaidista profesional haciendo algo epic,75307240
Breacher,180000,143024237,72,2023-01-19 09:08:55.386108,Barry thinks at super speed #shorts,74686077
MalumaVEVO,14000000,20492975675,214,2011-06-15 21:07:25.000000,Maluma - COCO LOCO (Official Video),68328770
Suharik Outdoors,431000,282388551,27,2023-03-04 12:01:55.743665,FROST -35°C + boiling water😱,66025696
سكاي نيوز عربية,5550000,2784312051,173493,2011-03-03 13:36:18.000000,Sky News Arabia Live Stream سكاي نيوز عربية بث مباشر,65815273
M.D. L.R,2960000,1824955603,104,2018-10-02 15:04:00.000000,"MORAD, JUL - SE GRITA [LYRIC VIDEO] | REINSERTADO",64562303
SAIKO,416000,268390567,65,2020-03-19 22:53:03.934994,"SAIKO, Feid, Quevedo - POLARIS (Remix) ft. Mora (Official Video) | SAKURA",63397640
Papel en coma,1730000,441283757,60,2021-10-24 14:00:11.521645,Reciclo con mis gatas,55449104
AutoBest Emperio,533000,297643266,790,2012-12-21 14:43:32.000000,Heavenly place manifest you. | ABE Premium Pre-Owned Cars,52726228
jiajunyin2,3740000,2055077231,304,2017-01-21 11:09:37.000000,Esto es útil para Beber agua,51550386
Luli Pampín,16700000,12304051706,359,2012-12-22 14:25:39.000000,Luli Pampín - QUE LLUEVA 🧙‍♀️ 🌧️ ☔️  - Official Video,50955828
Anita Naude Nature,980000,0,71,2014-03-06 13:04:54.000000,29 de mayo de 2023,48586079
LolaIndigoVEVO,209000,845001471,63,2018-07-02 16:03:57.000000,"Lola Indigo, Quevedo - EL TONTO (Video Oficial)",47704759
BeckyGVEVO,6230000,10610109922,159,2012-09-04 22:35:40.000000,Becky G - Arranca (Official Video) ft. Omega,45018915
Rels B / Skinny Flakk,5050000,4218539593,139,2009-12-21 09:27:38.000000,Rels B - lo que hay x aquí (Audio Oficial),39691594
News18 India,26300000,12664834945,263234,2007-10-25 21:29:21.000000,🔴Live News18 India: Virat Kohli Retires From T20 | India Wins T20 World Cup 2024 | PM Modi,38761683
Nick Jr. en Español,12700000,8675078525,1553,2021-01-08 09:47:10.036131,PAW Patrol | ¡30 minutos de misiones de la Patrulla Canina desde la Torre de control! | Nick Jr.,38676971
LOS GREEN LANTERS,590000,605543655,90,2019-09-22 14:26:58.000000,JC REYES - A 300,38447317
Abram Engle,1680000,1040227702,1629,2019-12-30 04:03:08.975941,It was on sight 😳,37976685
Luli Pampín,16700000,12304051706,359,2012-12-22 14:25:39.000000,Luli Pampín - LA RONDA DE LULITA 💜,37178943
Emmanuel Con Doble Eme,8300000,6089333478,1477,2021-10-15 23:38:46.235490,¿ #sabiasque ? 🤪🤦🏻‍♀️ #humor #bromas #shorts,33110113
Lofi Girl,14300000,1977762834,161,2015-03-18 15:36:55.000000,synthwave radio 🌌 - beats to chill/game to,33039858
