ChannelTitle,Subscribers,TotalViews,TotalVideos,CreationDate,VideoTitle,VideoViews
Geo News,15900000,7446676331,235189,2007-01-10 19:16:49.000000,GEO NEWS LIVE: Latest Pakistan News and Breaking Headlines Today #livenewstoday,674205554
Todo Noticias,4310000,1886418731,50614,2016-12-15 23:19:44.000000,TN EN VIVO I CASO LOAN - HORAS DECISIVAS,344655052
asianetnews,9520000,7991852410,283176,2008-09-25 20:14:04.000000,Asianet News Live | ഏഷ്യാനെറ്റ് ന്യൂസ് | Kerala News | Malayalam News Live | #Asianetnews,343079837
Kreasi Rupa Rupi,365000,261307961,194,2021-10-16 12:56:00.445388,🦆 Kreasi mainan PARUH BEBEK dari origami,230501582
Al Jazeera English,13700000,4618170664,115827,2006-11-23 14:12:43.000000,🔴 Al Jazeera English | Live,207493565
Nam Bon TV,1630000,1287459936,1851,2022-07-23 03:22:39.212907,"làm sạch động vật, rùa, cá sấu, bạch tuộc",199680001
範友義,408000,309739507,274,2019-04-09 06:04:21.000000,简单食材制作的营养奢华早餐 夹心早餐 早餐机,194096673
NTV Telugu,8630000,9135388181,361187,2014-08-24 10:53:44.000000,NTV Telugu News LIVE,192417951
Hydraulic Press Channel,9510000,5215092335,789,2015-10-06 14:28:01.000000,Crushing Candy Eyes With Hydraulic Press 👀🤔 #hydraulicpress #crushing #satisfying #viral,179140646
JJ Fact Story,6270000,1887015162,551,2021-12-19 18:38:31.752308,चिड़िया का घर 😍 ~ mini wood toy - woodworking art skill / wood / hand crafts / #shorts #trainding,171776824
DaveHax,7310000,3085212132,704,2012-06-08 21:27:07.000000,This is SO cool!,133063065
GK8 VLOGS,5510000,2232810290,162,2018-10-22 12:40:55.000000,تجربة الرسم ب الشوكولاتة 🍫!,126950392
Crónica TV,2100000,1347639825,75294,2015-10-05 17:11:42.000000,CRÓNICA EN VIVO - CASO LOAN: NOVEDADES DE ÚLTIMO MOMENTO,120830879
Matthew and Ryan,1890000,1294378149,1207,2016-02-05 19:04:30.000000,MY FIANCÉ PULLED MY ARM OFF 💀😭 #shorts #prank #funnyvideos,107584051
ஸ்ரீ சக்தி சிலம்பம் பழமுதிர்,227000,121520840,148,2015-04-11 16:46:47.000000,#valari #boomerang #internationalgame #thiruvallur #tamilculture,92452583
A24com,1710000,1043997594,38453,2015-08-12 14:01:21.000000,A24 EN VIVO 🔴 Las últimas noticias de Argentina y el mundo las 24 horas,91497689
Telewizja Republika,1160000,797392050,38780,2013-10-31 13:02:23.000000,Telewizja Republika. Oglądaj na żywo ❗ 📺📱💻,78893955
TVBS NEWS,2720000,6213791328,458629,2006-04-11 10:18:54.000000,🔴LIVE：TVBS NEWS網路獨家新聞24小時直播 Taiwan News 24hr 台湾世界中のニュースを24時間配信中 대만24시간뉴스채널 55台,76794540
سكاي نيوز عربية,5550000,2784312051,173493,2011-03-03 13:36:18.000000,Sky News Arabia Live Stream سكاي نيوز عربية بث مباشر,65814718
Disney Junior,19700000,19220185865,4782,2008-04-22 00:31:52.000000,🔴 LIVE! All Minnie's Bow-Toons! 🎀| NEW BOW-TOONS: CAMP MINNIE SHORTS! | @disneyjunior,65108116
Judy - Educational Videos,263000,102691655,458,2014-03-03 18:58:53.000000,Alphabet Lore Colors -26 Capital and Lowercase Letters,64299544
